Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,Municipi,CP,ABS,Telèfon
F08000025,CANAL CALVERAS. MARTA,CR,SANT JORDI,11,PUIG-REIG,08692,128 BAIX BERGUEDÀ,938290385
F08000032,ABRIL GARCIA. MARIA,RI,BISBE POL,72,ARENYS DE MAR,08350,9 ARENYS DE MAR,937923301
F08000040,RIGOLA GARROFE. DOLÇA,PL,ESGLESIA,3,ARENYS DE MAR,08350,9 ARENYS DE MAR,937920237
F08000057,MIAS NAVARRO. MIREIA,RB,SANT MARTI,56,ARENYS DE MUNT,08358,9 ARENYS DE MAR,937938201
F08000064,GUILLEN VIDAL. M NURIA,CR,GRAN,22,ARGENTONA,08310,10 ARGENTONA,937971262
F08000071,BOIXAREU CARRERA.M.ANGELS,CR,ROCAFORT,26,ARTÉS,08271,11 ARTÉS,938305265
F08000089,MIMO CALLIS. LLUIS,CT,RIBES,31,AIGUAFREDA,08591,121 LA GARRIGA,938440809
F08000096,JOFRESA PRATS. E/PORTILLO SAAVEDRA. P,CR,PRIM,156,BADALONA,08911,273 BADALONA 2,933840455
F08000106,TALLADA DOMINGO. MARIA,CR,CANONGE BARANERA,60,BADALONA,08911,273 BADALONA 2,933840453
F08000113,AGUILAR CALVO. ADELA,CR,FRANCESC LAYRET,83,BADALONA,08911,273 BADALONA 2,933895208
F08000120,SALLA CLAROS. JOSEPA,AV,MARQUES DE SANT MORI,16 bis,BADALONA,08913,277 BADALONA 6,933887301
F08000138,FAURA CARRERA. AINA,AV,ALFONS XIII,256,BADALONA,08914,342 BADALONA 7B,933870343
F08000145,BOSCASA SANCHEZ-PASCUALA. EVA,AV,ALFONS XIII,615,BADALONA,08918,276 BADALONA 5,933873194
F08000152,PRAT MARTORI. ELOI,PL,PEP VENTURA,11,BADALONA,08912,274 BADALONA 3,933872193
F08000160,PRAT MARTORI. ANNA,CR,FRANCESC MACIA,94-96,BADALONA,08912,274 BADALONA 3,933870647
F08000177,BERNAT BARRIGA. M.MONTSERRAT,CR,CONQUESTA,53,BADALONA,08912,274 BADALONA 3,933842906
F08000184,VALERO BARLABE. FRANCESC X.,CR,GUIFRE,184,BADALONA,08912,274 BADALONA 3,933830657
F08000191,GARCIA-VELA GRACE. MARTA,AV,PIUS XII,1-7,BADALONA,08913,277 BADALONA 6,933876154
F08000201,SEGARRA DOLSET. SILVIA,AV,ALFONS  XIII,555,BADALONA,08918,276 BADALONA 5,933872749
F08000219,SERENTILL TOST. SALVADOR,CR,MAR,23,BADALONA,08911,273 BADALONA 2,933841233
F08000226,TORRAS SURROCA. SARA M,CR,MAR,76,BADALONA,08911,273 BADALONA 2,933845614
F08000233,FERRÉ CLAPÉS. MARC,AV,MARTI PUJOL,133,BADALONA,08912,273 BADALONA 2,933844806
F08000240,IGLESIAS MANERO. MARC,CT,BERGA,2,BALSARENY,08660,167 NAVÀS/BALSARENY,938396121
F08000258,COSP BOIXADER. MARIA,PS,DE LA PAU,55,BERGA,08600,82 BERGA,938210125
F08000265,VILA CALONGE MA. CRISTINA,CR,CIUTAT,41,BERGA,08600,82 BERGA,938210518
F08000272,SAZ CARAZO. NEUS,AV,DEL CANAL INDUSTRIAL,14-18,BERGA,08600,82 BERGA,938210135
F08000280,ALVAREZ DE LA CAMPA FAYOS.ALVAR,CR,GRAN VIA,28,BERGA,08600,82 BERGA,938210402
F08000297,FONT SABALA. MERITXELL,PS,SANTA CALAMANDA,7,CALAF,08280,88 CALAF,938698506
F08000307,PUIGORIOL MAS. ISABEL,CR,FORN,7,CALDES DE MONTBUI,08140,89 CALDES DE MONTBUI,938650097
F08000314,TIBAU MAYNOU.RAFEL,AV,PI I MARGALL,36-38,CALDES DE MONTBUI,08140,89 CALDES DE MONTBUI,938650146
F08000321,AREALES VERA. CESAREO,CR,LA RIERA,20,CALDES D'ESTRAC,08393,335 SANT ANDREU DE LLAVANERES,937912732
F08000353,NOE NADAL. AGUSTI,CR,ESGLESIA,116,CALELLA,08370,90 CALELLA,937690791
F08000360,MARTINEZ ALVAREZ. EMILIO,RI,GAVARRA,23,CANET DE MAR,08360,93 CANET DE MAR,937940045
F08000378,CODINA SABATER. MARTA,PL,VERDAGUER,3,CAPELLADES,08786,337 CAPELLADES,938010082
F08000385,AUQUE REGAÑO. BERNAT,CR,SANT ANTONI,11,CARDEDEU,08440,95 CARDEDEU,938461071
F08000392,FORES JOVER. MARIA CINTA,CR,DIAGONAL FIVALLER,8,CARDEDEU,08440,95 CARDEDEU,938461169
F08000402,BERNADÍ GUITART. ELENA,CR,DEL CAMBRAS,5,CARDONA,08261,96 CARDONA,938691165
F08000427,SALA ARNAU. MARIA,PL,MERCAT,1,CARDONA,08261,96 CARDONA,938691049
F08000434,RODRIGUEZ YANGÜELA. TANIA,CR,TORRAS,2,CASTELLAR DEL VALLÈS,08211,97 CASTELLAR DEL VALLÈS,937145289
F08000441,ROS CASANOVAS. ROSALINA,AV,SANT ESTEVE,3,CASTELLAR DEL VALLÈS,08211,97 CASTELLAR DEL VALLÈS,937145233
F08000459,ESCUDERO MARTINEZ. PASCUAL/ESCUDERO PORTERA.MONICA,PL,ESGLESIA,8,CASTELLBISBAL,08755,310 RUBÍ 2,937720134
F08000466,CARRION RIBAS. JOAN ANTON,CR,DE MIG,1,CASTELLTERÇOL,08183,159 MOIÀ,938668033
F08000473,GUILLERMO MARTINEZ. ANTONIO,AV,CATALUNYA,4B,CASTELLBELL I EL VILAR,08296,98 MONTSERRAT,938282179
F08000480,FELIU TORRENT. IMMACULADA,CR,SOCOS,2,CENTELLES,08540,102 CENTELLES,938810182
F08000498,BARNOLAS PUIGBO. MARIA PILAR,CR,NOU,7,CENTELLES,08540,102 CENTELLES,938810985
F08000508,COPETE PERALTA`. JAVIER/QUERO GUERRERO. M.CARMEN,CR,RAMON I CAJAL,2-4,CORNELLÀ DE LLOBREGAT,08940,108 CORNELLÀ DE LLOBREGAT 1,934744572
F08000515,GELABERT CAMPRUBI. RAMON,CR,RUBIO i ORS,128,CORNELLÀ DE LLOBREGAT,08940,108 CORNELLÀ DE LLOBREGAT 1,933770011
F08000522,LOPEZ-YBARRA FLORES. ROCIO,PL,AJUNTAMENT,14,ESPARREGUERA,08292,115 ESPARRAGUERA,937771144
F08000530,FLORENSA BERENGUER. MIREIA,CR,GRAN,33,ESPARREGUERA,08292,115 ESPARRAGUERA,937771189
F08000547,SANS BALLESTER. SILVIA,CR,ANGEL GUIMERA,130,ESPLUGUES DE LLOBREGAT,08950,117 ESPLUGUES DE LLOBREGAT 2,933710393
