Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,CP,ABS,Telèfon,Nom comarca,Nom,província,geocode_input,address,lat,lng
F08000025,Canal calveras. marta,Carrer,Sant jordi,11,8692,128 baix berguedà,938290385,Berguedà,Puig-reig,Barcelona,"Carrer Sant jordi, 11, 08692, Puig-reig, Barcelona, Spain","Carrer Sant Jordi, 11, 08692 Puig-reig, Barcelona, Spain",41.9751974,1.8774583
F08000032,Abril garcia. maria,Riera,Bisbe pol,72,8350,9 arenys de mar,937923301,Maresme,Arenys de Mar,Barcelona,"Riera Bisbe pol, 72, 08350, Arenys de Mar, Barcelona, Spain","Riera del Bisbe Pol, 72, 08350 Arenys de Mar, Barcelona, Spain",41.5809266,2.5503047
F08000040,Rigola garrofe. dolça,Plaça,Esglesia,3,8350,9 arenys de mar,937920237,Maresme,Arenys de Mar,Barcelona,"Plaça Esglesia, 3, 08350, Arenys de Mar, Barcelona, Spain","Plaça de l'Església, 3, 08350 Arenys de Mar, Barcelona, Spain",41.5807324,2.5495074
F08000057,Mias navarro. mireia,Rambla,Sant marti,56,8358,9 arenys de mar,937938201,Maresme,Arenys de Munt,Barcelona,"Rambla Sant marti, 56, 08358, Arenys de Munt, Barcelona, Spain","Rambla Sant Martí, 56, 08358 Arenys de Munt, Barcelona, Spain",41.609544,2.5408221
F08000064,Guillen vidal. m nuria,Carrer,Gran,22,8310,10 argentona,937971262,Maresme,Argentona,Barcelona,"Carrer Gran, 22, 08310, Argentona, Barcelona, Spain","Carrer Gran, 22, 08310 Argentona, Barcelona, Spain",41.5547112,2.4015851
F08000071,Boixareu carrera.m.angels,Carrer,Rocafort,26,8271,11 artés,938305265,Bages,Artés,Barcelona,"Carrer Rocafort, 26, 08271, Artés, Barcelona, Spain","Carrer Rocafort, 26, 08271 Artés, Barcelona, Spain",41.7977841,1.9530128
F08000089,Mimo callis. lluis,Carretera,Ribes,31,8591,121 la garriga,938440809,Vallès Oriental,Aiguafreda,Barcelona,"Carretera Ribes, 31, 08591, Aiguafreda, Barcelona, Spain","Ctra. de Ribes, 31, 08591 Aiguafreda, Barcelona, Spain",41.7677774,2.2512316
F08000096,Jofresa prats. e/portillo saavedra. p,Carrer,Prim,156,8911,273 badalona 2,933840455,Barcelonès,Badalona,Barcelona,"Carrer Prim, 156, 08911, Badalona, Barcelona, Spain","Carrer d'En Prim, 156, 08911 Badalona, Barcelona, Spain",41.4510918,2.2529399
F08000106,Tallada domingo. maria,Carrer,Canonge baranera,60,8911,273 badalona 2,933840453,Barcelonès,Badalona,Barcelona,"Carrer Canonge baranera, 60, 08911, Badalona, Barcelona, Spain","Carrer del Canonge Baranera, 60, 08911 Badalona, Barcelona, Spain",41.4502639,2.2510044
F08000113,Aguilar calvo. adela,Carrer,Francesc layret,83,8911,273 badalona 2,933895208,Barcelonès,Badalona,Barcelona,"Carrer Francesc layret, 83, 08911, Badalona, Barcelona, Spain","Carrer de Francesc Layret, 83, 08911 Badalona, Barcelona, Spain",41.4501274,2.2473072
