comarca,província
Alt Camp,Tarragona
Alt Empordà,Girona
Alt Penedès,Barcelona
Alt Urgell,Lleida
Alta Ribagorça,Lleida
Anoia,Barcelona
Aran,Lleida
Bages,Barcelona
Baix Camp,Tarragona
Baix Ebre,Tarragona
Baix Empordà,Girona
Baix Llobregat,Barcelona
Baix Penedès,Tarragona
Barcelonès,Barcelona
Berguedà,Barcelona
Cerdanya,Girona
Conca de Barberà,Tarragona
Garraf,Barcelona
Garrigues,Lleida
Garrotxa,Girona
Gironès,Girona
Maresme,Barcelona
Moianès,Barcelona
Montsià,Tarragona
Noguera,Lleida
Osona,Barcelona
Pallars Jussà,Lleida
Pallars Sobirà,Lleida
Pla d'Urgell,Lleida
Pla de l'Estany,Girona
Priorat,Taragona
Ribera d'Ebre,Tarragona
Ripollès,Girona
Segarra,Lleida
Segrià,Lleida
Selva,Girona
Solsonès,Lleida
Tarragonès,Tarragona
Terra Alta,Tarragona
Urgell,Lleida
Vallès Occidental,Barcelona
Vallès Oriental,Barcelona
