comarca,província,regió sanitària,codi regió sanitària,comentari,
Alt Penedès,Barcelona,Barcelona,RS12,,
Anoia,Barcelona,Catalunya Central,RS14,,
Bages,Barcelona,Catalunya Central,RS14,,
Baix Llobregat,Barcelona,Barcelona,RS12,,
Barcelonès,Barcelona,Barcelona,RS12,,
Berguedà,Barcelona,Catalunya Central,RS14,,
Garraf,Barcelona,Barcelona,RS12,,
Maresme,Barcelona,Barcelona,RS12,Alguns dels municipis del Maresme pertanyen a la RS15. ,
Moianès,Barcelona,Catalunya Central,RS14,,
Osona,Barcelona,Catalunya Central,RS14,,
Vallès Occidental,Barcelona,Barcelona,RS12,,
Vallès Oriental,Barcelona,Barcelona,RS12,,
Alt Empordà,Girona,Girona,RS15,,
Baix Empordà,Girona,Girona,RS15,,
Cerdanya,Girona,Alt Pirineu i Aran,RS11,,
Garrotxa,Girona,Girona,RS15,,
Gironès,Girona,Girona,RS15,,
Pla de l'Estany,Girona,Girona,RS15,,
Ripollès,Girona,Girona,RS15,,
Selva,Girona,Girona,RS15,,
Alt Urgell,Lleida,Alt Pirineu i Aran,RS11,,
Alta Ribagorça,Lleida,Alt Pirineu i Aran,RS11,,
Aran,Lleida,Alt Pirineu i Aran,RS11,,
Garrigues,Lleida,Lleida,RS16,,
Noguera,Lleida,Lleida,RS16,,
Pallars Jussà,Lleida,Alt Pirineu i Aran,RS11,,
Pallars Sobirà,Lleida,Alt Pirineu i Aran,RS11,,
Pla d'Urgell,Lleida,Lleida,RS16,,
Segarra,Lleida,Lleida,RS16,,
Segrià,Lleida,Lleida,RS16,,
Solsonès,Lleida,Catalunya Central,RS14,,
Urgell,Lleida,Lleida,RS16,,
Priorat,Taragona,Camp de Tarragona,RS13,,
Alt Camp,Tarragona,Camp de Tarragona,RS13,,
Baix Camp,Tarragona,Camp de Tarragona,RS13,,
Baix Ebre,Tarragona,Terres de l'Ebre,RS17,,
Baix Penedès,Tarragona,Camp de Tarragona,RS13,,
Conca de Barberà,Tarragona,Camp de Tarragona,RS13,,
Montsià,Tarragona,Terres de l'Ebre,RS17,,
Ribera d'Ebre,Tarragona,Terres de l'Ebre,RS17,,
Tarragonès,Tarragona,Camp de Tarragona,RS13,,
Terra Alta,Tarragona,Terres de l'Ebre,RS17,,
