Codi,Nom_idescat,Codi comarca,Nom comarca,Altitud(m),Superfície(km2),Població,densitat(habitants/km2),IST_idescat,Índex socioeconòmic territorial,Nom,lat,lng
430666,"Garidells, els",1,Alt Camp,132,3.07,190,61.89,0.0,95.0, Els Garidells,41.20745489999999,1.2475459
431191,Puigpelat,1,Alt Camp,252,9.48,1163,122.68,0.0,95.0,Puigpelat,41.277958,1.2981329
430108,Alió,1,Alt Camp,263,7.25,458,63.17,0.0,95.0,Alió,41.2985963,1.3035514
431135,"Pont d'Armentera, el",1,Alt Camp,349,21.67,488,22.52,0.0,95.0, El Pont D'Armentera,41.3830002,1.362866
431080,"Pla de Santa Maria, el",1,Alt Camp,381,34.99,2348,67.1,0.0,95.0, El Pla De Santa Maria,41.3653833,1.2887174
430982,Nulles,1,Alt Camp,231,10.61,509,47.97,0.0,95.0,Nulles,41.2491051,1.2969289
430897,Montferri,1,Alt Camp,229,19.15,403,21.04,0.0,95.0,Montferri,41.2655762,1.3653115
430363,Cabra del Camp,1,Alt Camp,493,26.95,1175,43.6,0.0,95.0,Cabra del Camp,41.3954009,1.2758641
430918,Mont-ral,1,Alt Camp,888,34.72,168,4.84,0.0,95.0,Mont-ral,41.2870198,1.0981137
430831,"Milà, el",1,Alt Camp,166,4.13,190,46.0,0.0,95.0, El Milà,41.2485161,1.2064251
430803,"Masó, la",1,Alt Camp,115,3.57,280,78.43,0.0,95.0, La Masó,41.2346147,1.2211737
431606,Vallmoll,1,Alt Camp,161,16.68,1774,106.35,0.0,95.0,Vallmoll,41.2446134,1.2487963
431704,Vila-rodona,1,Alt Camp,259,33.11,1276,38.54,0.0,95.0,Vila-rodona,41.31102449999999,1.3580958
431652,Vilabella,1,Alt Camp,254,18.19,729,40.08,0.0,95.0,Vilabella,41.2480731,1.332462
430056,Alcover,1,Alt Camp,243,46.0,5144,111.83,1.0,98.3,Alcover,41.262476,1.1709847
430593,Figuerola del Camp,1,Alt Camp,474,22.72,329,14.48,0.0,95.0,Figuerola del Camp,41.3714085,1.2653356
431613,Valls,1,Alt Camp,215,55.28,24477,442.78,1.0,92.5,Valls,41.2854449,1.2494589
431205,Querol,1,Alt Camp,565,72.26,518,7.17,0.0,95.0,Querol,41.4237177,1.3978848
430347,Bràfim,1,Alt Camp,236,6.42,695,108.26,0.0,95.0,Bràfim,41.2693132,1.3408979
431248,"Riba, la",1,Alt Camp,263,7.99,585,73.22,0.0,95.0, La Riba,41.31789029999999,1.1770422
430017,Aiguamúrcia,1,Alt Camp,314,72.95,930,12.75,0.0,95.0,Aiguamúrcia,41.3296224,1.3586793
431346,"Rourell, el",1,Alt Camp,114,2.32,372,160.34,0.0,95.0, El Rourell,41.2235994,1.2175396
431325,Rodonyà,1,Alt Camp,312,8.49,494,58.19,0.0,95.0,Rodonyà,41.277396,1.3999969
170470,Castelló d'Empúries,2,Alt Empordà,17,42.3,111,2.62,1.0,76.7,Castelló d'Empúries,42.2556545,3.0750499
171208,Palau-saverdera,2,Alt Empordà,78,16.45,1456,88.51,0.0,84.2,Palau-saverdera,42.307477,3.1473689
170144,"Vajol, la",2,Alt Empordà,546,4.71,89,18.9,0.0,84.2, La Vajol,42.40368340000001,2.8000802
171518,Riumors,2,Alt Empordà,7,6.54,246,37.61,0.0,84.2,Riumors,42.2274676,3.0419719
171788,Sant Pere Pescador,2,Alt Empordà,5,18.45,209,11.33,0.0,84.2,Sant Pere Pescador,42.1897546,3.0926899
170412,Cantallops,2,Alt Empordà,200,19.62,309,15.75,0.0,84.2,Cantallops,42.4221088,2.9254799
171766,Sant Mori,2,Alt Empordà,51,7.53,166,22.05,0.0,84.2,Sant Mori,42.1551489,2.9903696
170160,Bàscara,2,Alt Empordà,66,17.5,1001,57.2,0.0,84.2,Bàscara,42.1581166,2.9107298
171194,Palau de Santa Eulàlia,2,Alt Empordà,86,8.44,90,10.66,0.0,84.2,Palau de Santa Eulàlia,42.1774294,2.969588
171289,Pau,2,Alt Empordà,33,10.7,557,52.06,0.0,84.2,Pau,41.3876778,2.1718611
171292,Pedret i Marzà,2,Alt Empordà,22,8.65,191,22.08,0.0,84.2,Pedret i Marzà,42.3085262,3.0726468
171753,Sant Miquel de Fluvià,2,Alt Empordà,28,3.51,761,216.81,0.0,84.2,Sant Miquel de Fluvià,42.1758038,2.9906822
170427,Capmany,2,Alt Empordà,107,26.4,611,23.14,0.0,84.2,Capmany,42.366414,2.9275836
171024,Maçanet de Cabrenys,2,Alt Empordà,370,67.91,698,10.28,0.0,84.2,Maçanet de Cabrenys,42.3813839,2.7182728
171002,Masarac,2,Alt Empordà,85,12.55,288,22.95,0.0,84.2,Masarac,42.3508095,2.9728687
171061,Mollet de Peralada,2,Alt Empordà,59,6.04,198,32.78,0.0,84.2,Mollet de Peralada,42.3599287,3.000373
171984,Torroella de Fluvià,2,Alt Empordà,9,16.85,703,41.72,0.0,84.2,Torroella de Fluvià,42.1752713,3.0397249
170329,Cadaqués,2,Alt Empordà,23,26.43,2695,101.97,0.0,84.2,Cadaqués,42.2887571,3.2779723
171962,Terrades,2,Alt Empordà,228,20.96,338,16.13,0.0,84.2,Terrades,42.3099409,2.8380772
170524,Siurana,2,Alt Empordà,33,10.53,171,16.24,0.0,84.2,Siurana,41.2581135,0.9323577999999999
171117,Navata,2,Alt Empordà,145,18.48,1427,77.22,0.0,84.2,Navata,42.2240903,2.8614511
170031,Albanyà,2,Alt Empordà,239,94.39,155,1.64,0.0,84.2,Albanyà,42.3047854,2.7204483
170293,Boadella i les Escaules,2,Alt Empordà,82,10.78,272,25.23,0.0,84.2,Boadella i les Escaules,42.33044230000001,2.8565087
171886,"Selva de Mar, la",2,Alt Empordà,48,7.19,195,27.12,0.0,84.2, La Selva De Mar,42.3241692,3.1870667
172348,Biure,2,Alt Empordà,81,10.02,241,24.05,0.0,84.2,Biure,42.3380313,2.8954417
170059,"Far d'Empordà, el",2,Alt Empordà,44,9.0,602,66.89,0.0,84.2, El Far D'Empordà,42.25208809999999,2.9956836
170314,Cabanelles,2,Alt Empordà,194,55.58,267,4.8,0.0,84.2,Cabanelles,42.2303509,2.8200093
171870,"Saus, Camallera i Llampaies",2,Alt Empordà,86,11.36,856,75.35,0.0,84.2, Camallera I Llampaies Saus,42.12032114984852,2.966948983831523
171156,Ordis,2,Alt Empordà,98,8.55,361,42.22,0.0,84.2,Ordis,42.2146833,2.8926342
170307,Cabanes,2,Alt Empordà,26,15.02,968,64.45,0.0,84.2,Cabanes,42.3105258,2.9731812
171432,Rabós,2,Alt Empordà,106,45.1,184,4.08,0.0,84.2,Rabós,42.4026078,3.0476046
172214,Vilafant,2,Alt Empordà,54,8.36,5421,648.44,1.0,104.4,Vilafant,42.2528434,2.9425698
171827,Santa Llogaia d'Àlguema,2,Alt Empordà,42,1.94,368,189.69,0.0,84.2,Santa Llogaia d'Àlguema,42.2335098,2.9519385
172109,Ventalló,2,Alt Empordà,28,25.05,846,33.77,0.0,84.2,Ventalló,42.148948,3.0269546
171523,Roses,2,Alt Empordà,5,45.91,19807,431.43,1.0,79.6,Roses,42.2605204,3.2080991
171328,Peralada,2,Alt Empordà,32,43.61,1898,43.52,0.0,84.2,Peralada,42.3083523,3.0094404
170123,Avinyonet de Puigventós,2,Alt Empordà,70,12.3,1641,133.41,0.0,84.2,Avinyonet de Puigventós,42.2536062,2.9126022
170643,Espolla,2,Alt Empordà,124,43.55,412,9.46,0.0,84.2,Espolla,42.3909458,3.0006856
171582,Sant Climent Sescebes,2,Alt Empordà,86,24.37,707,29.01,0.0,84.2,Sant Climent Sescebes,42.36876549999999,2.9811941
170741,Fortià,2,Alt Empordà,8,10.76,787,73.14,0.0,84.2,Fortià,42.2406514,3.0325855
170600,Darnius,2,Alt Empordà,193,34.93,537,15.37,0.0,84.2,Darnius,42.3669299,2.8334038
170754,Garrigàs,2,Alt Empordà,101,19.89,451,22.67,0.0,84.2,Garrigàs,42.1927719,2.9544372
170773,Garriguella,2,Alt Empordà,56,21.01,853,40.6,0.0,84.2,Garriguella,42.34309529999999,3.0676373
170622,"Escala, l'",2,Alt Empordà,14,16.31,10244,628.08,1.0,80.2, L' Escala,42.1198504,3.1227702
171387,Portbou,2,Alt Empordà,28,9.22,1063,115.29,0.0,84.2,Portbou,42.4272031,3.1597695
171404,"Port de la Selva, el",2,Alt Empordà,12,41.62,958,23.02,0.0,84.2, El Port De La Selva,42.3387346,3.2049594
171365,Pontós,2,Alt Empordà,94,13.66,260,19.03,0.0,84.2,Pontós,42.1896492,2.9076094
170669,Figueres,2,Alt Empordà,39,19.3,47235,2447.41,1.0,74.9,Figueres,42.26550659999999,2.9581046
172229,Vilaür,2,Alt Empordà,65,5.49,158,28.78,0.0,84.2,Vilaür,42.1437291,2.9547495
172288,Vilanant,2,Alt Empordà,98,16.87,386,22.88,0.0,84.2,Vilanant,42.25512,2.8892031
172305,Vila-sacra,2,Alt Empordà,16,6.03,758,125.7,0.0,84.2,Vila-sacra,42.2654013,3.0182054
172272,Vilamaniscle,2,Alt Empordà,169,5.46,212,38.83,0.0,84.2,Vilamaniscle,42.3753663,3.0673242
